title_fr,title_en,category,prompt_fr,prompt_en
"Réponse à un client mécontent","Reply to an unhappy customer","Support","Client mécontent. Message : {message}. Produit : {produit}. Faits réels : {faits}. Notre responsabilité : {responsabilité}. Réponse : 1) reconnaît le ressenti (sans ""je comprends votre frustration""), 2) FAITS sans excuses ni accusations, 3) UNE solution concrète + plan B, 4) délai précis, 5) ouverture (téléphone si nécessaire). Pro calme ferme, pas servile pas défensif. Max 150 mots.","Unhappy customer. Message: {message}. Product: {product}. Actual facts: {facts}. Our responsibility: {responsibility}. Reply: 1) acknowledge feeling (without ""I understand your frustration""), 2) FACTS without excuses or blame, 3) ONE concrete solution + plan B, 4) precise timeline, 5) opening (phone if needed). Pro calm firm, not servile not defensive. Max 150 words."
"FAQ d'un produit","Product FAQ","Support","10 questions clients : {questions}. Pour chaque : 1) reformule comme un client la dirait NATURELLEMENT (pas ""Comment puis-je""), 2) réponse 2-3 phrases, 3) lien ressource ou contact, 4) tag (basique/avancé/facturation/technique/autre). Tableau Q/R + tag + lien. Style direct ""tu"" confiant, jamais ""n'hésitez pas à nous contacter"". Ordonne du plus au moins fréquent.","10 customer questions: {questions}. For each: 1) reformulate as customer would NATURALLY say (not ""How can I""), 2) 2-3 sentence answer, 3) resource link or contact, 4) tag (basic/advanced/billing/technical/other). Q/A table + tag + link. Direct ""you"" confident style, never ""feel free to contact us"". Order most to least frequent."
"Email d'onboarding produit Day 0","Day 0 onboarding email","Support","Email onboarding post-achat. Produit : {produit}. Client type : {persona}. Lien : {URL}. Structure : 1) subject max 5 mots, 2) hello court, 3) ACCÈS DIRECT au produit, 4) 3 ÉTAPES DÉMARRAGE 1 ligne chacune, 5) PAR OÙ COMMENCER (1 conseil), 6) comment me joindre, 7) signature courte. Max 150 mots, ton confiant ""tu"", jamais ""Merci infiniment pour votre confiance"".","Onboarding email post-purchase. Product: {product}. Customer type: {persona}. Link: {URL}. Structure: 1) subject max 5 words, 2) short hello, 3) DIRECT ACCESS to product, 4) 3 GETTING STARTED STEPS 1 line each, 5) WHERE TO BEGIN (1 tip), 6) how to reach me, 7) short signature. Max 150 words, confident ""you"" tone, never ""Thank you so much for your trust""."
"Email de réactivation","Reactivation email","Support","Réactivation client. Produit : {produit}. Date achat : {date}. Activité depuis : {activité}. Email : 1) subject (curiosité pas culpabilisation), 2) reconnaît la vie chargée 1 phrase, 3) rappel du bénéfice principal 1 ligne, 4) UN SEUL next step ULTRA SIMPLE, 5) question ouverte, 6) signature. Max 100 mots. Pas de ""Tu as oublié de"".","Customer reactivation. Product: {product}. Purchase date: {date}. Activity since: {activity}. Email: 1) subject (curiosity not guilt), 2) acknowledge busy life 1 sentence, 3) reminder of main benefit 1 line, 4) ONE ULTRA SIMPLE next step, 5) open question, 6) signature. Max 100 words. No ""You forgot to""."
"Réponse aux refunds","Reply to refunds","Support","Demande de remboursement. Message : {message}. Produit : {produit + prix}. Politique : {politique}. Ancienneté : {ancienneté}. Raison : {raison}. Réponse : 1) confirme prise en compte sans drame, 2) si remboursement justifié confirme délai + process, 3) UNE question optionnelle pour comprendre, 4) garde porte ouverte sans pousser, 5) note humaine. JAMAIS ""êtes-vous sûr"" ""avez-vous bien essayé"". Max 100 mots.","Refund request. Message: {message}. Product: {product + price}. Policy: {policy}. Tenure: {tenure}. Reason: {reason}. Reply: 1) confirm receipt without drama, 2) if refund justified confirm timeline + process, 3) ONE optional question to understand, 4) keep door open without pushing, 5) human note. NEVER ""are you sure"" ""did you really try"". Max 100 words."
"Macro de réponse récurrente","Macro reply for recurring question","Support","Question récurrente : {question}. Contexte : {produit/service}. Macro : 1) VERSION COURTE 3-4 phrases (Slack/DM), 2) VERSION MOYENNE 1 paragraphe (email), 3) VERSION LONGUE avec lien doc (ticket support). Chaque version : répond direct, anticipe sous-question suivante, lien ressource si utile, ton humain malgré template. Pas de ""Bonjour merci pour votre message"".","Recurring question: {question}. Context: {product/service}. Macro: 1) SHORT VERSION 3-4 sentences (Slack/DM), 2) MEDIUM VERSION 1 paragraph (email), 3) LONG VERSION with doc link (support ticket). Each: answers directly, anticipates next sub-question, resource link if useful, human tone despite template. No ""Hello thank you for your message""."
"Sondage post-livraison","Post-delivery survey","Support","Sondage feedback post-livraison. Produit : {produit}. Cible : {client type}. 5 questions max : 1) NPS reformulé, 2) qualitative ouverte sur LE moment de valeur, 3) ce qui a manqué, 4) à qui ils recommanderaient (contexte), 5) clôture témoignage si NPS élevé. Conversationnel pas corporate, max 3 min. Pour chaque : indique POURQUOI tu la poses (objectif business).","Post-delivery feedback survey. Product: {product}. Target: {customer type}. Max 5 questions: 1) reformulated NPS, 2) open qualitative on THE value moment, 3) what was missing, 4) who they'd recommend to (context), 5) closing for testimonial if NPS high. Conversational not corporate, max 3 min. For each: indicate WHY you ask (business goal)."
"Argumentaire upsell soft","Soft upsell pitch","Support","Client a acheté {produit_actuel}. Prochain palier : {produit_suivant} ({prix} EUR). Séquence 2 emails sur 14 jours. Email 1 (J+10) : centré sur la valeur déjà eue + question d'engagement. Email 2 (J+14) : présente le produit suivant comme suite NATURELLE (pas pitch) — résout au prochain niveau, ce qui change, lien direct, prix transparent, une seule offre. ""Tu"" confiant, max 120 mots/email.","Customer bought {current_product}. Next tier: {next_product} ({price} EUR). 2-email sequence over 14 days. Email 1 (D+10): focused on value already gained + engagement question. Email 2 (D+14): present next product as NATURAL continuation (not pitch) — solves at next level, what changes, direct link, transparent price, one offer. Confident ""you"", max 120 words/email."
"Documentation d'un bug","Bug report from customer","Support","Client signale un problème confus. Message brut : {message}. Reformule en ticket : 1) RÉSUMÉ 1 ligne (titre), 2) STEPS TO REPRODUCE étape par étape, 3) RÉSULTAT ACTUEL, 4) RÉSULTAT ATTENDU, 5) ENVIRONMENT (device, navigateur), 6) SÉVÉRITÉ (critique/élevée/moyenne/basse), 7) INFOS MANQUANTES à demander. Inclure aussi message à RENVOYER au client (poli, court, max 50 mots).","Customer reports a confusing problem. Raw message: {message}. Reformulate as ticket: 1) 1-LINE SUMMARY (title), 2) STEPS TO REPRODUCE step by step, 3) ACTUAL RESULT, 4) EXPECTED RESULT, 5) ENVIRONMENT (device, browser), 6) SEVERITY (critical/high/medium/low), 7) MISSING INFO to ask. Also include message to send BACK to customer (polite, short, max 50 words)."
"Email de fin de mission","End-of-mission email","Support","Fin de projet client. Projet : {nom + livrables}. Durée : {durée}. Résultat : {résultat}. Email clôture : 1) RÉSUMÉ 3 bullets, 2) TRANSFERT (accès, doc, contacts), 3) CE QUI A FONCTIONNÉ + 1 apprentissage honnête, 4) PROCHAINES ÉTAPES POSSIBLES sans pitch, 5) DEMANDE DE TÉMOIGNAGE 1 phrase optionnel, 6) note humaine. Pro posé sincère, max 200 mots, pas de ""Ce fut un plaisir"" générique.","End of client project. Project: {name + deliverables}. Duration: {duration}. Result: {result}. Closing email: 1) RECAP 3 bullets, 2) TRANSFER (access, doc, contacts), 3) WHAT WORKED + 1 honest learning, 4) POSSIBLE NEXT STEPS without pitch, 5) TESTIMONIAL REQUEST 1 optional sentence, 6) human note. Pro composed sincere, max 200 words, no generic ""It was a pleasure""."
